symbol,Mean_Return,Volatility,Momentum,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,GMM_Max_Prob,PCA1,PCA2
MTLUSDT,0.0026996545908686055,0.07929250687419435,0.002805994097545822,2,0,0,0,0.9999927551683294,1.7441141797563153,0.29871114032253265
NEOUSDT,0.0009162178874253447,0.055338917030571644,-0.07188694565074347,4,1,0,4,1.0,-1.2512058454876744,-0.9890958506150049
NKNUSDT,0.002929372526923195,0.08011169230243204,-4.732951835955263e-06,2,0,0,0,0.999999838861736,1.9795683815900456,0.4503200973415206
NMRUSDT,0.0010669556269829541,0.06533391373021621,-0.17284098889229757,4,1,0,4,1.0,-0.3803287808683332,-1.035967479071456
OGNUSDT,0.002348416037882363,0.08050148797243854,-0.0004924049161268914,2,0,0,0,0.9999469456527063,1.5598455270379552,0.053627232280113554
ONEUSDT,0.0020852236297710636,0.0706637519824812,-6.444010767160171e-05,0,3,0,0,0.9990638222156616,0.6725286320615302,-0.11334186990132687
ONGUSDT,0.0023715019259452257,0.0819010381877543,-0.0024933019137389303,2,0,0,0,0.9999410215342829,1.6761705088711774,0.0649599240978483
ONTUSDT,0.0007131095016724939,0.05816864080516888,-0.01150223055665219,4,1,0,4,0.9999983245581638,-1.2461800838328962,-1.0483959146654906
PAXGUSDT,0.0007131095016724939,0.04391098977716121,2.5618172197693503,1,2,1,1,1.0,-3.7528404183899498,2.4776766365126135
QTUMUSDT,0.0012339187006288892,0.05818881348264542,-0.013447532570075011,4,1,0,4,0.9999999999964078,-0.8427922124073546,-0.6964599678600515
RLCUSDT,0.0026198020242253427,0.07177304452946257,0.003076555178542575,2,0,0,0,0.9999584807375791,1.1593000459833624,0.25361548883824875
RSRUSDT,0.0023982622275913372,0.0819010381877543,-6.027346096096099e-05,2,0,0,0,0.9999676122848578,1.6953344439748772,0.0864985597211418
RUNEUSDT,0.0029365955027358527,0.07302073136219918,0.007523453996983427,2,0,0,0,0.9993710082078289,1.4873146233371288,0.47390268518585504
RVNUSDT,0.0016020569022778476,0.06300655784793369,-0.00012159173371194203,0,4,0,0,0.9870026178881008,-0.23208542972139326,-0.4333329641505109
SANDUSDT,0.0032505572656438882,0.07529681090842619,0.0019718110676355412,2,0,0,0,0.9999999834410406,1.8905893354166956,0.6774089587726818
SCUSDT,0.0016653603731255143,0.05704472151396498,6.644602479941608e-07,4,4,0,0,0.9829107897176288,-0.5982545996450195,-0.3830025089745155
SNXUSDT,0.001225720673255945,0.06496176387096468,-0.02417254794520547,4,1,0,4,1.0,-0.37153413456798057,-0.7246892587292451
SOLUSDT,0.0032505572656438882,0.06403089918677689,1.3955114453125002,2,0,-1,2,1.0,0.2864965591608932,2.5910952445178115
STORJUSDT,0.0027010450480092,0.07490721599401963,-0.0001528713968957892,2,0,0,0,0.9999947792107063,1.4418017908202092,0.30081686131046614
STXUSDT,0.0026740835271044897,0.07163571408827035,0.004098878220515282,2,0,0,0,0.99993660727447,1.1909206063794011,0.2921318756561823
SUSHIUSDT,0.0014102082496872015,0.07410465648159531,-0.007751458686241298,0,3,0,4,0.9164751411061167,0.396944147488663,-0.587509614832367
SXPUSDT,0.0008796999943617925,0.06490635695182097,-0.01916687614847482,4,1,0,4,1.0,-0.6446493898107404,-0.953398743043726
TFUELUSDT,0.0025506302942923807,0.06877283640903716,0.00016287393831023703,0,0,0,0,0.9999338290980206,0.8990257369625314,0.20609740988588063
THETAUSDT,0.0026420904546118774,0.060404266572870284,0.004689983632909556,0,0,0,0,0.9992933596214805,0.3844765497565575,0.2844567504271846
TRBUSDT,0.0028567565367585675,0.08186110204847098,0.07097771514468251,2,0,0,2,0.9999973086008427,2.0036223716811374,0.49560215165967286
